user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
65,3,3,3,3,2,1,2,2,1,1,3,4,3,3,3,3,4,2,2,2,4,2,3,2,2,3,2,1,2,0,2,2,2,3,2,2,2,1,3,2,2,2,3,3,2,4,3,3,2,2,2,2,1,3,3,3,2,2,2,4,4,3,3,3,3,2,2,3,0,2,2,3,3,4,3
81,3,3,2,3,3,2,0,0,3,2,4,4,3,3,0,4,4,2,2,4,4,3,1,0,0,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,2,4,2,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,2,2,2,4,4,4,4
91,4,4,3,4,3,2,3,3,2,1,4,4,4,4,3,3,3,1,1,3,4,4,2,3,3,2,2,1,2,0,3,0,3,3,3,3,3,4,4,2,2,3,3,4,3,4,3,3,3,2,2,3,0,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,0,2,2,2,3,3,3
78,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,1,0,4,0,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,0,4,4,0,3,4,4,4,4,3,4,3,4,4,4,4,3,3,2,2,3,4,4,4,4,4
80,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,1,2,1,2,1,3,2,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,2,2,3,1,2,2,3,3,3,3
101,3,2,1,3,3,3,3,2,2,3,4,3,3,3,2,2,3,2,3,2,1,4,1,3,3,3,3,1,1,3,3,2,3,2,1,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,4,3,4,3,2,2,2,2,3,2,1,2,2,2,4,3
86,4,2,3,2,2,1,3,1,0,1,4,4,2,3,2,2,1,1,2,3,4,2,2,3,3,2,2,1,0,0,3,0,3,2,1,2,2,2,4,2,2,1,4,4,3,4,4,3,3,2,3,2,1,4,4,3,3,3,2,4,2,3,4,4,3,2,2,2,0,1,3,3,3,4,3
66,4,4,3,3,3,1,0,0,2,1,3,3,4,2,1,3,2,1,3,3,3,2,1,0,0,2,2,1,1,0,3,2,2,3,1,2,2,2,3,2,3,2,4,4,3,4,3,3,1,0,2,3,0,2,4,2,1,2,2,4,2,2,3,3,2,2,4,1,0,2,1,2,2,3,2
84,4,4,4,4,3,2,3,3,2,1,4,4,4,4,4,3,1,2,2,3,4,4,3,4,4,3,3,1,0,0,4,0,3,2,4,4,4,3,1,3,1,3,4,4,4,4,4,4,4,1,3,4,1,4,4,3,4,4,3,4,4,4,3,3,4,4,3,1,1,4,1,3,3,3,3
0,4,4,4,4,4,2,4,3,4,2,4,4,4,2,2,4,3,4,4,3,4,3,3,4,4,4,3,3,4,2,4,2,4,3,3,3,2,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,2,3,4,4,3,4,3,4,3,4,4,3,3,3,4,4,2,2,3,3,3,4,4
96,4,3,3,3,4,2,3,2,1,0,4,4,3,4,4,4,1,2,1,4,4,3,4,3,4,3,2,1,0,0,4,0,1,3,3,3,3,3,3,0,1,3,2,3,4,4,4,4,4,1,4,3,0,4,4,3,2,3,3,4,2,4,4,4,4,2,4,4,0,4,4,4,4,4,4
100,4,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,4,3,3,3,3,3,3,2,2,1,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,3,2,3,2,1,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,2,2,1
92,3,2,1,2,3,1,3,1,2,1,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,1,1,2,1,3,2,3,3,2,2,2,2,1,2,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,3,3,4,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3
95,3,3,2,4,2,1,3,1,2,0,3,3,2,3,3,2,2,2,2,4,4,3,3,4,2,2,2,3,2,0,2,2,2,2,3,1,2,1,2,2,2,3,3,2,3,4,4,2,2,2,2,3,0,3,4,3,3,3,2,4,3,2,2,2,3,2,2,2,1,4,1,3,3,3,3
104,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,2,4,3,4,4,3,3,4,3,3,0,2,2,1,4,4,4,3,3,3,4,2,4,3,2,3,4,1,4,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
73,3,2,1,4,3,1,3,2,2,2,4,4,3,4,4,3,3,2,2,3,4,4,3,2,4,2,2,1,1,1,4,1,2,3,4,2,2,2,2,2,2,3,3,4,4,4,4,3,2,2,2,4,1,1,3,3,3,3,2,4,3,2,3,2,3,2,1,2,2,3,2,4,3,4,3
85,3,3,0,4,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,4,4,4,3,4,2,2,2,2,1,3,2,3,2,3,3,3,2,2,2,1,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,3,2,3,2,3,3,3,3,3,0,2,0,3,4,3,4,4,4
93,3,3,4,3,3,1,2,2,2,0,4,3,3,3,2,3,2,3,2,1,3,4,3,3,4,3,3,3,1,0,3,3,3,3,1,3,4,4,3,2,1,3,4,3,3,4,3,3,2,2,3,3,0,3,2,3,3,3,3,4,3,2,2,3,3,3,3,2,0,4,2,3,3,3,3
69,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,2,3,4,3,4,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,2,3,2,3,2,4,3,3,3,3,4,4,3,3,3,3,3,2,3,4,3,3,3,2,4,3,3,3,3,2,3,4,3,2,2,3,3,3,4,3
74,4,4,3,4,3,3,4,3,4,3,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,2,2,3,1,3,4,3,4,4,3,4,2,4,4,4,4,4,4,4,4,2,3,3,4,2,4,4,4,4,4,4,4,3,3,3,3,3,4,3,2,2,4,3,4,4,4,4
76,2,1,1,1,2,0,1,2,0,0,3,3,1,2,2,2,0,2,0,2,3,1,3,2,2,1,1,2,0,0,1,1,1,1,2,2,2,2,2,1,2,2,1,2,3,1,4,1,1,1,1,2,0,3,3,1,0,1,2,3,1,2,2,1,1,0,0,2,0,1,2,1,2,2,3
40,4,3,2,3,3,2,2,2,3,3,3,3,4,3,3,2,3,2,3,3,3,4,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,1,2,3,3,3,3,4,4,3,2,3,3,2,3,4,3,2,2,2,4,3,3,2,3,3,2,3,1,2,2,3,3,3,4,4
